date_time,date,time,hhmm,am_flag,Tambient,Tcontainer_1,Tcontainer_2,Pyranometer_Gt_Row1,Pyranometer_Gt_Row2,Pyranometer_Gt_Row3,Pyranometer_Gt_Row4,Pyranometer_Gh,Humidity,APE,WD,WS
2019-01-01T10:00:00.000+04:00,01.01.2019,10:00-10:15,10:00,AM,24.6,20.71,23.03,594.604,764.574,753.835,725.651,506.011,46.093,0.0,87.0836,
2019-01-01T18:45:00.000+04:00,01.01.2019,18:45-19:00,18:45,PM,22.87,19.0,23.03,-3.398<,-3.588<,-3.207<,,,30.216,0.0,104.3602,0.6502
2019-01-01T19:00:00.000+04:00,01.01.2019,19:00-19:15,19:00,PM,22.51,19.11,22.94,-3.681<,-3.904<,-3.477<,,,30.582,0.0,51.5227,0.6019
2019-01-01T19:15:00.000+04:00,01.01.2019,19:15-19:30,19:15,PM,22.04,18.77,23.33,-3.950<,-4.189<,-3.739<,,,31.102,0.0,85.4512,0.5519
2019-01-01T19:30:00.000+04:00,01.01.2019,19:30-19:45,19:30,PM,21.5,18.67,22.59,-3.933<,-4.150<,-3.715<,,,32.167,0.0,108.7983,0.4377
2019-01-01T19:45:00.000+04:00,01.01.2019,19:45-20:00,19:45,PM,21.08,17.84,22.4,-3.843<,-4.058<,-3.637<,,,34.339,0.0,102.6454,0.5251
2019-01-01T20:00:00.000+04:00,01.01.2019,20:00-20:15,20:00,PM,20.41,18.62,22.58,-4.220<,-4.524<,-4.012<,,,35.705,0.0,89.5492,0.5376
2019-01-01T20:15:00.000+04:00,01.01.2019,20:15-20:30,20:15,PM,19.87,18.83,22.73,-3.972<,-4.224<,-3.763<,,,37.789,0.0,91.0872,0.4729
2019-01-05T05:00:00.000+04:00,05.01.2019,05:00-05:15,05:00,AM,9.55,14.67,17.96,-1.220<,,-1.126<,-1.193<,-1.482<,62.949,0.0,128.1297,1.2576
2019-01-05T22:45:00.000+04:00,05.01.2019,22:45-23:00,22:45,PM,16.73,18.1,,-2.461<,-2.559<,-2.289<,-2.178<,-2.541<,70.213,0.0,334.0675,0.6802
2019-01-07T04:00:00.000+04:00,07.01.2019,04:00-04:15,04:00,AM,14.14,20.27,24.29,-2.623<,-2.759<,-2.487<,-2.390<,-2.739<,70.907,0.0,109.99,
2019-01-03T23:45:00.000+04:00,03.01.2019,23:45-00:00,23:45,PM,17.67,18.58,22.85,,-2.324<,-2.078<,-2.120<,-2.449<,45.735,0.0,105.811,1.2691
2019-01-02T06:45:00.000+04:00,02.01.2019,06:45-00:00,06:45,AM,,,,,,,,,,,,
